HAPPINESS,AGE,INCOME,EDUCATION,MARITAL_STATUS,GENDER,EMPLOYMENT_STATUS,HEALTH,RELIGION,SOCIAL_CONTACT,POLITICAL_VIEWS
Pretty Happy,69.0,58320.0,8.0,Married,Male,Employed,,Religious,6.0,Conservative
Not Too Happy,38.0,,,Married,Male,Employed,,Religious,15.0,Liberal
Pretty Happy,57.0,29954.0,17.0,Single,Female,Retired,Excellent,Not Religious,,Liberal
Very Happy,55.0,19315.0,19.0,,Female,Student,Excellent,Religious,13.0,
Not Too Happy,43.0,143219.0,14.0,Married,Female,Employed,Excellent,Religious,,Moderate
Very Happy,57.0,87573.0,17.0,Married,Female,Employed,Excellent,Religious,5.0,Conservative
Not Too Happy,73.0,95456.0,16.0,Married,Female,Employed,Good,,4.0,Liberal
Very Happy,68.0,124496.0,17.0,Divorced,Female,Student,Excellent,Religious,6.0,Liberal
Not Too Happy,29.0,,16.0,Married,Male,Retired,Excellent,Religious,3.0,Liberal
Very Happy,21.0,,17.0,Widowed,Female,Employed,,Not Religious,8.0,Moderate
,29.0,75463.0,18.0,Married,Male,Employed,Good,Religious,11.0,Liberal
Pretty Happy,49.0,42220.0,10.0,Single,Male,Employed,Good,Religious,9.0,
Not Too Happy,26.0,57405.0,18.0,Married,Female,Retired,Good,Religious,1.0,Conservative
Very Happy,61.0,61445.0,,Married,,Unemployed,Good,Religious,19.0,Conservative
Pretty Happy,50.0,111114.0,15.0,Married,Male,Unemployed,Excellent,Religious,6.0,
Not Too Happy,84.0,144530.0,15.0,Married,Male,Student,Fair,Religious,,Moderate
,74.0,,11.0,Single,Male,Employed,Excellent,,7.0,Moderate
Pretty Happy,58.0,140866.0,19.0,Widowed,Female,Employed,Good,,,Conservative
,,119112.0,18.0,Single,Male,Employed,Good,Not Religious,18.0,Conservative
Pretty Happy,29.0,107346.0,18.0,Married,Male,Employed,Fair,,1.0,Liberal
Pretty Happy,41.0,,8.0,Married,Male,Employed,Good,Not Religious,2.0,Moderate
,25.0,74351.0,8.0,Married,,Employed,Good,,1.0,Liberal
Not Too Happy,66.0,132134.0,11.0,Single,Female,Unemployed,Excellent,Not Religious,4.0,Liberal
,63.0,142135.0,13.0,,Male,Retired,Good,Religious,0.0,Liberal
Very Happy,53.0,123034.0,15.0,Divorced,Female,Employed,Poor,Religious,,Moderate
Not Too Happy,21.0,,13.0,,Female,Employed,Fair,Religious,,
Not Too Happy,32.0,30187.0,19.0,Single,Female,Employed,Excellent,Not Religious,12.0,
Pretty Happy,52.0,114037.0,16.0,Married,Female,Retired,Good,Religious,,Moderate
Pretty Happy,26.0,70785.0,16.0,,Female,Retired,Poor,Religious,14.0,Liberal
Very Happy,66.0,129426.0,9.0,Single,Male,,Good,Not Religious,15.0,Moderate
Very Happy,,27291.0,17.0,Single,Male,Employed,Good,Religious,7.0,Liberal
Pretty Happy,77.0,68895.0,,Single,Male,Employed,Poor,Not Religious,4.0,
Pretty Happy,81.0,74407.0,,Married,,Employed,Fair,,14.0,Moderate
Pretty Happy,84.0,102691.0,12.0,Single,Male,Employed,Good,Not Religious,14.0,Liberal
Very Happy,82.0,,11.0,Married,Male,Retired,,,17.0,Moderate
Not Too Happy,50.0,73527.0,,Single,Male,Retired,Good,Religious,16.0,Liberal
Not Too Happy,,118284.0,16.0,Married,,Employed,Fair,,9.0,Moderate
Pretty Happy,61.0,129844.0,,Single,Male,Retired,,,5.0,Liberal
Pretty Happy,30.0,70315.0,15.0,Divorced,,Student,,Religious,7.0,Moderate
Pretty Happy,44.0,49923.0,,Divorced,Male,Employed,Good,Religious,7.0,Moderate
Not Too Happy,25.0,77395.0,8.0,Divorced,Female,Employed,Excellent,Not Religious,4.0,Liberal
Pretty Happy,35.0,30624.0,9.0,,Female,Student,Good,Religious,12.0,Moderate
Very Happy,29.0,71148.0,13.0,Single,Male,Employed,Good,Not Religious,,
Not Too Happy,40.0,146438.0,18.0,Single,Male,Student,Good,Not Religious,16.0,Moderate
Not Too Happy,18.0,106287.0,9.0,Divorced,Male,Student,Good,Not Religious,2.0,Liberal
Not Too Happy,71.0,93296.0,17.0,Married,Male,,Poor,Not Religious,19.0,
Pretty Happy,28.0,43138.0,12.0,Widowed,Female,Retired,Excellent,Religious,15.0,Moderate
Pretty Happy,,88619.0,12.0,Divorced,Male,Retired,Fair,Religious,2.0,Conservative
,29.0,78804.0,13.0,Single,Male,Unemployed,Poor,Not Religious,10.0,Moderate
Not Too Happy,38.0,138945.0,13.0,Married,Female,Employed,Good,Religious,16.0,Moderate
Not Too Happy,38.0,102999.0,13.0,Married,Female,Employed,Good,,11.0,
Very Happy,72.0,34684.0,9.0,Divorced,Female,Employed,Poor,Not Religious,5.0,Conservative
Very Happy,45.0,91248.0,17.0,Married,Female,Unemployed,Excellent,Religious,5.0,Moderate
Pretty Happy,62.0,22776.0,10.0,Divorced,Female,Employed,Good,Not Religious,6.0,Liberal
Not Too Happy,52.0,,13.0,Married,Male,Employed,Good,Not Religious,8.0,Conservative
,64.0,22135.0,,Married,Female,Employed,Excellent,Not Religious,16.0,Moderate
Very Happy,26.0,,19.0,Divorced,,Retired,Fair,Not Religious,6.0,Conservative
Pretty Happy,80.0,93967.0,18.0,Single,Female,Student,Fair,Not Religious,6.0,Conservative
Pretty Happy,65.0,34844.0,19.0,Single,Female,Student,Fair,,3.0,Liberal
Not Too Happy,30.0,145674.0,8.0,Single,Male,Employed,Excellent,,8.0,Moderate
Not Too Happy,23.0,,8.0,Married,Female,,Excellent,Religious,4.0,Liberal
Not Too Happy,42.0,123021.0,18.0,Single,,Retired,Good,Not Religious,15.0,
Pretty Happy,68.0,92556.0,9.0,Married,Male,Employed,Excellent,Not Religious,2.0,
Pretty Happy,79.0,32984.0,18.0,,Female,Employed,Good,Religious,17.0,Moderate
Very Happy,42.0,41457.0,,Divorced,Male,Employed,Good,Religious,8.0,Liberal
Very Happy,44.0,27989.0,19.0,Married,Female,Student,Good,Religious,7.0,Liberal
Not Too Happy,43.0,129120.0,13.0,Single,Female,Employed,Good,Religious,4.0,Moderate
Not Too Happy,29.0,29128.0,16.0,Single,Female,Employed,Good,,8.0,Liberal
Not Too Happy,22.0,134848.0,11.0,,Female,Unemployed,Excellent,Not Religious,14.0,Liberal
Not Too Happy,61.0,42584.0,10.0,Widowed,Female,Employed,Good,Religious,11.0,
Pretty Happy,58.0,82062.0,19.0,Married,Female,Employed,Good,Religious,3.0,Liberal
Pretty Happy,61.0,89147.0,15.0,Married,,Unemployed,Good,Religious,18.0,Moderate
Not Too Happy,30.0,133144.0,18.0,Single,Female,Employed,Fair,,,Liberal
Not Too Happy,57.0,53971.0,17.0,Single,Male,Retired,Fair,Religious,,Conservative
Very Happy,,73264.0,16.0,Single,Female,Employed,Poor,Religious,0.0,Moderate
Pretty Happy,58.0,37566.0,,,Male,Unemployed,Excellent,Religious,18.0,Liberal
Very Happy,59.0,89595.0,18.0,Single,Male,Unemployed,Excellent,Religious,,Liberal
Not Too Happy,,72884.0,12.0,Single,Female,,Good,Religious,4.0,Moderate
Pretty Happy,36.0,142363.0,16.0,Married,Male,Employed,Fair,Religious,10.0,Moderate
Very Happy,,34304.0,9.0,Married,,Unemployed,Good,Religious,8.0,Liberal
Pretty Happy,34.0,,10.0,Married,,Retired,Fair,Religious,5.0,Liberal
Pretty Happy,46.0,128154.0,14.0,Married,Male,Retired,Good,Religious,3.0,Conservative
Pretty Happy,55.0,41026.0,14.0,Single,,,Poor,Not Religious,6.0,Liberal
Very Happy,,44012.0,13.0,Married,Male,Employed,Poor,Not Religious,16.0,
Pretty Happy,27.0,79479.0,13.0,Married,,Employed,Excellent,Not Religious,17.0,Conservative
Pretty Happy,39.0,24208.0,9.0,Married,Male,Student,Good,Not Religious,,Moderate
Pretty Happy,25.0,95268.0,17.0,Divorced,Female,Employed,Good,Religious,12.0,
Pretty Happy,34.0,67843.0,13.0,Divorced,Male,Employed,Excellent,Religious,10.0,Moderate
Not Too Happy,53.0,47798.0,,Single,Female,Employed,Good,Religious,12.0,Liberal
Pretty Happy,65.0,92811.0,19.0,Divorced,Female,Employed,Good,Not Religious,15.0,Moderate
Pretty Happy,44.0,68072.0,10.0,Single,Male,Employed,Excellent,,13.0,Moderate
Not Too Happy,46.0,31625.0,18.0,Single,Female,Student,Good,Religious,11.0,Conservative
Pretty Happy,48.0,,9.0,Married,Female,Employed,Good,Religious,8.0,
Very Happy,51.0,99370.0,8.0,Single,Female,Employed,Excellent,Religious,16.0,Conservative
Very Happy,29.0,,18.0,Single,Female,Student,Good,,15.0,Conservative
Pretty Happy,31.0,136076.0,18.0,Single,Male,Student,Excellent,Religious,13.0,Moderate
,52.0,99601.0,,Single,Female,Employed,,Religious,,Liberal
Pretty Happy,51.0,,9.0,Single,Female,Employed,Excellent,,9.0,
Very Happy,34.0,77058.0,9.0,Single,Female,Retired,Fair,Religious,15.0,Moderate
Very Happy,21.0,23668.0,,Divorced,Male,Retired,Good,Not Religious,,Conservative
Very Happy,,143892.0,15.0,Married,Female,Unemployed,,Religious,7.0,Liberal
Pretty Happy,23.0,69337.0,17.0,Single,Female,Retired,Good,Not Religious,1.0,Conservative
Pretty Happy,,,15.0,Married,Male,Unemployed,Good,Religious,8.0,Conservative
Pretty Happy,57.0,99945.0,11.0,Single,Male,Employed,Good,,,Conservative
Pretty Happy,32.0,71613.0,8.0,Single,Male,,Good,Not Religious,9.0,Conservative
Not Too Happy,,51784.0,18.0,Married,Female,Employed,Good,Religious,20.0,Liberal
Pretty Happy,79.0,63688.0,14.0,Single,Female,Retired,Excellent,Religious,9.0,Liberal
Pretty Happy,76.0,69776.0,8.0,Married,Female,Unemployed,Excellent,Not Religious,,Liberal
Pretty Happy,56.0,68717.0,18.0,Single,Male,Employed,Fair,Religious,5.0,Liberal
,82.0,79258.0,11.0,Married,Female,,Good,,9.0,Moderate
Pretty Happy,57.0,27793.0,,,Male,Employed,Good,Not Religious,,Conservative
Not Too Happy,76.0,96890.0,9.0,,Male,Employed,Fair,Not Religious,5.0,Conservative
Not Too Happy,53.0,85264.0,13.0,Single,Female,Unemployed,Good,Religious,3.0,Moderate
Very Happy,,132506.0,,Married,Female,Employed,Fair,Religious,10.0,Liberal
Not Too Happy,72.0,66000.0,19.0,Divorced,Female,Retired,Good,Religious,,Liberal
Pretty Happy,18.0,148395.0,16.0,Divorced,Female,Employed,Excellent,Religious,13.0,Liberal
Very Happy,58.0,115037.0,12.0,Widowed,Male,,Poor,Not Religious,9.0,Liberal
Pretty Happy,57.0,136000.0,17.0,Single,Male,Retired,Good,,3.0,Moderate
Not Too Happy,67.0,31718.0,11.0,Single,Female,Unemployed,Fair,Religious,0.0,Liberal
Pretty Happy,31.0,118908.0,12.0,,Female,Employed,Excellent,Not Religious,13.0,Liberal
Pretty Happy,,112808.0,19.0,Married,Male,Student,Good,Religious,1.0,
Pretty Happy,35.0,145736.0,19.0,Married,Male,,Fair,Religious,16.0,
Very Happy,24.0,119166.0,17.0,Single,,Employed,Excellent,Not Religious,,Moderate
Very Happy,41.0,92187.0,18.0,Divorced,Female,Employed,,Not Religious,,Moderate
Very Happy,,52926.0,,Married,,Employed,Good,Religious,16.0,
Very Happy,29.0,28428.0,15.0,Divorced,Male,Student,Good,Not Religious,12.0,Conservative
Very Happy,24.0,70587.0,17.0,Single,,Employed,Good,Religious,4.0,Liberal
Very Happy,54.0,148088.0,19.0,Single,Male,Retired,Fair,Religious,,Moderate
Pretty Happy,42.0,,15.0,Married,Female,Retired,Excellent,Religious,,Moderate
Very Happy,70.0,102455.0,9.0,Married,,Employed,Excellent,Not Religious,18.0,Moderate
Pretty Happy,38.0,125820.0,14.0,Single,Female,Unemployed,Fair,Religious,17.0,Conservative
Not Too Happy,50.0,108836.0,15.0,Single,Female,Employed,Fair,Religious,0.0,
Pretty Happy,65.0,75179.0,18.0,Married,Female,,Excellent,Religious,7.0,Moderate
Pretty Happy,39.0,147734.0,13.0,Single,Male,,,Not Religious,2.0,Liberal
Very Happy,35.0,83371.0,12.0,,Female,Student,Good,Religious,,Moderate
Very Happy,73.0,138687.0,18.0,Divorced,Female,,Good,Religious,17.0,Liberal
Very Happy,54.0,90609.0,16.0,Divorced,Female,,Excellent,Religious,1.0,Liberal
Very Happy,30.0,106095.0,10.0,Married,Female,,Good,Religious,6.0,
Very Happy,32.0,43820.0,19.0,Married,Male,Retired,,Not Religious,9.0,Moderate
Very Happy,,54562.0,17.0,Single,Male,Employed,Fair,Religious,3.0,Liberal
Very Happy,76.0,95607.0,11.0,,Male,Retired,Fair,Not Religious,12.0,Moderate
Very Happy,68.0,,16.0,Married,Female,,Good,Religious,14.0,
Pretty Happy,64.0,71045.0,13.0,Married,Male,Employed,Excellent,Not Religious,2.0,Liberal
Very Happy,48.0,29082.0,15.0,Married,Male,Retired,Excellent,Religious,17.0,Moderate
Pretty Happy,,80005.0,,Married,Male,Employed,Good,Religious,,Moderate
Pretty Happy,,74385.0,18.0,Married,,Student,,Religious,5.0,
Pretty Happy,68.0,86144.0,9.0,Married,Male,Student,Good,Not Religious,1.0,Liberal
Very Happy,,85313.0,10.0,Married,Male,,Good,Not Religious,12.0,Liberal
Pretty Happy,31.0,49971.0,8.0,Single,Male,Employed,Good,Religious,11.0,Moderate
Pretty Happy,56.0,,16.0,Single,Male,Student,Good,Not Religious,9.0,Conservative
Very Happy,44.0,86655.0,14.0,Single,,Student,Excellent,Religious,2.0,Moderate
Not Too Happy,23.0,115601.0,8.0,Married,Male,Employed,Excellent,Religious,1.0,Liberal
Not Too Happy,27.0,69973.0,10.0,Married,Female,Retired,Excellent,Religious,9.0,Moderate
Very Happy,70.0,70945.0,11.0,Single,Female,Employed,Good,Religious,15.0,Conservative
Very Happy,44.0,99989.0,,,,Employed,Fair,Not Religious,0.0,Liberal
,22.0,78723.0,12.0,Single,Male,Retired,Fair,Religious,3.0,Conservative
Pretty Happy,79.0,,10.0,,,Employed,Excellent,Religious,13.0,Conservative
Very Happy,51.0,62955.0,10.0,Divorced,Female,,,Religious,9.0,Liberal
Very Happy,26.0,26921.0,8.0,Married,Female,,Excellent,Religious,,Conservative
Pretty Happy,32.0,36198.0,14.0,Married,Female,Unemployed,Good,Religious,12.0,Liberal
Pretty Happy,83.0,93629.0,18.0,Single,Male,Employed,Good,Religious,13.0,Conservative
Pretty Happy,56.0,87173.0,,Single,,Employed,Good,Religious,8.0,Moderate
Pretty Happy,60.0,,8.0,Married,Male,Unemployed,Excellent,Religious,9.0,Moderate
Pretty Happy,55.0,106076.0,9.0,Married,Female,Employed,Excellent,Religious,17.0,Moderate
Pretty Happy,38.0,115735.0,11.0,Single,Female,Employed,Excellent,Religious,6.0,Moderate
Very Happy,78.0,65916.0,11.0,Married,Female,Employed,Excellent,Religious,15.0,Liberal
Very Happy,64.0,112065.0,12.0,Married,Male,Employed,Fair,Religious,,Moderate
Pretty Happy,37.0,28251.0,,Married,Female,Retired,Excellent,Religious,0.0,Liberal
Not Too Happy,63.0,106490.0,9.0,Divorced,Male,,Good,Religious,19.0,Liberal
Pretty Happy,51.0,69945.0,11.0,Married,Male,Employed,Good,Religious,14.0,Liberal
Pretty Happy,55.0,80560.0,8.0,Widowed,Male,Employed,,Religious,5.0,
,52.0,129470.0,9.0,Single,,Employed,Fair,Religious,5.0,Liberal
Pretty Happy,51.0,132580.0,8.0,Widowed,Male,Employed,Fair,Religious,10.0,Liberal
Pretty Happy,21.0,108993.0,17.0,Divorced,Female,Employed,Excellent,Religious,13.0,Liberal
Very Happy,29.0,118455.0,17.0,,Male,Employed,,Not Religious,12.0,Liberal
Very Happy,56.0,51306.0,11.0,Married,Female,Retired,Fair,Religious,1.0,Moderate
Pretty Happy,,120169.0,11.0,Married,Female,Retired,Excellent,Religious,,Conservative
Very Happy,,,,Married,,Employed,,Not Religious,2.0,Liberal
Pretty Happy,79.0,25870.0,17.0,Single,Female,Employed,Fair,Religious,18.0,Conservative
,22.0,129530.0,18.0,Married,Female,Employed,,Not Religious,15.0,Moderate
Pretty Happy,74.0,91621.0,18.0,Married,Female,Employed,Excellent,Religious,18.0,Moderate
Very Happy,23.0,,16.0,Married,Female,Employed,Excellent,Not Religious,2.0,Moderate
Not Too Happy,64.0,70599.0,16.0,Divorced,Female,Employed,Good,Religious,4.0,Conservative
Pretty Happy,42.0,128628.0,12.0,Married,Male,Employed,Excellent,Religious,7.0,Liberal
,53.0,131421.0,17.0,Married,Female,,Good,Not Religious,17.0,Moderate
Pretty Happy,35.0,47245.0,8.0,Married,Male,Employed,Fair,Religious,14.0,Moderate
Pretty Happy,24.0,147265.0,8.0,Divorced,Male,Employed,Excellent,Religious,7.0,Moderate
,62.0,107816.0,13.0,Single,,Employed,,Not Religious,0.0,Conservative
Pretty Happy,81.0,101412.0,9.0,Married,Female,Employed,Good,,4.0,Liberal
Pretty Happy,63.0,34914.0,,Married,Female,Employed,Excellent,Religious,11.0,Moderate
Pretty Happy,77.0,101322.0,16.0,,,Employed,,Religious,11.0,
Pretty Happy,18.0,109301.0,11.0,Married,Female,Employed,Fair,Religious,,Liberal
Very Happy,,127858.0,12.0,Divorced,Female,Employed,Good,Not Religious,10.0,Liberal
Very Happy,63.0,116446.0,18.0,Single,Male,Employed,Fair,Not Religious,2.0,Moderate
Pretty Happy,21.0,,15.0,Married,Male,Employed,Fair,Religious,19.0,Conservative
Pretty Happy,56.0,139092.0,10.0,,Female,,Fair,Religious,10.0,Moderate
Pretty Happy,45.0,98311.0,12.0,Married,,Employed,Good,Religious,15.0,Conservative
,22.0,49208.0,10.0,Single,Female,,Fair,Religious,10.0,Moderate
Not Too Happy,35.0,,19.0,,Male,Employed,Poor,Not Religious,14.0,Liberal
Pretty Happy,64.0,38677.0,17.0,Married,Male,Employed,Fair,Religious,10.0,
Very Happy,70.0,63648.0,10.0,Single,Female,Retired,Excellent,Religious,5.0,Liberal
Very Happy,54.0,51574.0,10.0,Married,Female,Employed,,Not Religious,3.0,
Very Happy,47.0,119551.0,19.0,Married,Female,Employed,Good,,10.0,Liberal
Very Happy,66.0,108183.0,14.0,Married,Female,Retired,Excellent,Religious,8.0,
Very Happy,70.0,49818.0,14.0,Married,Female,Retired,Poor,Religious,14.0,Moderate
Very Happy,80.0,134559.0,14.0,Single,Female,Employed,Excellent,Religious,2.0,Liberal
Very Happy,46.0,29656.0,17.0,Divorced,Male,Employed,Excellent,Not Religious,5.0,Liberal
,71.0,30403.0,15.0,Single,Female,Employed,Poor,Religious,16.0,Liberal
Not Too Happy,36.0,67055.0,12.0,Divorced,Male,Employed,Good,Religious,6.0,
Very Happy,32.0,20424.0,12.0,Divorced,Female,Employed,Excellent,,0.0,Liberal
Pretty Happy,37.0,121126.0,11.0,,Male,Employed,Good,Religious,9.0,Liberal
Pretty Happy,33.0,,14.0,,Female,Employed,,Religious,9.0,Conservative
Not Too Happy,29.0,136745.0,17.0,Married,Male,Student,Excellent,,10.0,Conservative
,,30627.0,11.0,Single,Female,Student,Poor,Not Religious,19.0,Liberal
Pretty Happy,23.0,83385.0,9.0,Divorced,Female,Employed,Good,Not Religious,10.0,Moderate
Not Too Happy,,62457.0,11.0,Married,Male,Unemployed,Good,Religious,,
Not Too Happy,49.0,,15.0,Single,Female,Employed,Good,Not Religious,11.0,Moderate
Not Too Happy,41.0,61491.0,,Single,Male,Retired,Good,Not Religious,0.0,
Very Happy,23.0,106698.0,10.0,Single,Female,Employed,Excellent,Religious,0.0,Liberal
Very Happy,82.0,59517.0,14.0,,Female,,Excellent,Religious,4.0,Moderate
Pretty Happy,46.0,22781.0,19.0,,Male,Employed,Good,,17.0,Liberal
Not Too Happy,36.0,138010.0,16.0,,Female,Employed,Fair,Not Religious,14.0,Liberal
Pretty Happy,36.0,113851.0,,Married,Male,Employed,Excellent,Religious,8.0,Liberal
Pretty Happy,46.0,46698.0,11.0,Married,Male,,Good,Not Religious,11.0,Moderate
Very Happy,,27550.0,17.0,Single,Female,Unemployed,Fair,Religious,0.0,Liberal
Pretty Happy,31.0,107359.0,10.0,Married,Male,Employed,Excellent,Not Religious,0.0,Liberal
Very Happy,55.0,49121.0,12.0,Divorced,Female,Employed,Excellent,Religious,17.0,Liberal
Pretty Happy,28.0,127073.0,8.0,Single,Female,Employed,Good,Not Religious,6.0,Liberal
,51.0,,10.0,Single,Male,Retired,Good,Religious,19.0,Moderate
Pretty Happy,43.0,61172.0,15.0,Married,Female,Student,Excellent,Not Religious,18.0,Liberal
Very Happy,82.0,132400.0,18.0,Single,Male,Student,Good,Religious,16.0,Liberal
Very Happy,20.0,104412.0,15.0,Divorced,Male,,Good,Religious,6.0,Moderate
,86.0,49980.0,11.0,Married,Male,Employed,Good,Religious,11.0,Moderate
Very Happy,80.0,44308.0,,Married,Male,,Excellent,,8.0,
Pretty Happy,68.0,,15.0,Single,Male,Employed,Good,Religious,0.0,Moderate
Very Happy,82.0,95254.0,15.0,Married,,Student,Fair,,5.0,Liberal
Pretty Happy,37.0,62765.0,17.0,Married,,Employed,Poor,Not Religious,15.0,Moderate
Pretty Happy,46.0,88546.0,11.0,,Female,Employed,,Religious,17.0,Moderate
Very Happy,72.0,114983.0,10.0,Married,Female,Retired,Good,Religious,14.0,
,21.0,115370.0,9.0,Single,Female,Employed,Good,Religious,16.0,
Very Happy,53.0,93299.0,16.0,Married,Female,Employed,Good,Religious,9.0,
Very Happy,41.0,24963.0,8.0,Divorced,Male,Unemployed,Excellent,Not Religious,15.0,Conservative
Not Too Happy,60.0,104260.0,14.0,,Female,Employed,Excellent,Religious,2.0,Conservative
Pretty Happy,31.0,76483.0,12.0,Single,Female,Employed,,Not Religious,0.0,Moderate
Not Too Happy,,83114.0,15.0,Single,Male,Retired,Excellent,Religious,0.0,Conservative
Very Happy,28.0,115480.0,11.0,Divorced,Female,,Excellent,Religious,,Moderate
Pretty Happy,68.0,91783.0,14.0,Married,Female,Student,Poor,Not Religious,14.0,Liberal
Pretty Happy,54.0,25821.0,,,Female,Employed,Excellent,Religious,10.0,Moderate
Pretty Happy,56.0,107110.0,12.0,Single,Female,Employed,Excellent,Religious,16.0,Liberal
Pretty Happy,66.0,73629.0,16.0,Single,Male,Retired,Excellent,Religious,17.0,
,56.0,62111.0,16.0,Single,Male,Employed,Good,Not Religious,17.0,Moderate
Pretty Happy,43.0,37985.0,16.0,Married,Male,Employed,Good,Religious,2.0,Liberal
Not Too Happy,50.0,,,Married,Female,Retired,,Religious,18.0,Liberal
Not Too Happy,18.0,77662.0,13.0,Single,Male,Employed,Good,Religious,13.0,Moderate
Not Too Happy,88.0,37696.0,13.0,Married,Female,Employed,Fair,Religious,,Conservative
Very Happy,24.0,,12.0,Single,Male,Employed,Fair,Not Religious,11.0,Liberal
Pretty Happy,72.0,,16.0,Married,Male,Employed,Poor,,8.0,Liberal
Not Too Happy,26.0,122666.0,17.0,Married,Male,Employed,Fair,,,Liberal
Very Happy,30.0,133246.0,,Married,Female,Employed,Good,Not Religious,13.0,Moderate
Very Happy,36.0,122967.0,14.0,Married,,Retired,Excellent,Religious,17.0,Liberal
Pretty Happy,55.0,115345.0,14.0,Single,Male,Student,Excellent,Religious,18.0,Moderate
Pretty Happy,82.0,35814.0,13.0,Married,,Employed,Excellent,Religious,19.0,Liberal
,18.0,24244.0,12.0,Widowed,Male,Employed,Good,Religious,4.0,Liberal
Very Happy,52.0,137213.0,11.0,Single,Male,Employed,Fair,Religious,4.0,Conservative
Pretty Happy,32.0,36888.0,10.0,Married,,Employed,Good,Religious,6.0,Liberal
Very Happy,22.0,31714.0,10.0,Single,Female,Unemployed,Excellent,Religious,1.0,Moderate
Very Happy,,51921.0,13.0,Divorced,Male,Retired,Good,Religious,1.0,Liberal
Very Happy,80.0,26146.0,11.0,Single,Female,Retired,,Religious,12.0,Moderate
Not Too Happy,,84917.0,19.0,Married,Female,Employed,Good,Religious,8.0,Moderate
Pretty Happy,66.0,111880.0,19.0,,Female,Employed,Fair,Religious,,Liberal
Pretty Happy,53.0,108884.0,13.0,,Female,Employed,Fair,Not Religious,0.0,Liberal
Pretty Happy,55.0,70930.0,10.0,Married,Female,Employed,Poor,Religious,11.0,Liberal
Not Too Happy,27.0,24818.0,11.0,Married,Female,Unemployed,Fair,Not Religious,0.0,
Pretty Happy,84.0,133079.0,16.0,Single,Female,Student,Fair,Religious,10.0,Moderate
Not Too Happy,72.0,89615.0,12.0,Married,,Employed,Excellent,Not Religious,16.0,
Pretty Happy,69.0,24204.0,14.0,Divorced,Female,,Excellent,Not Religious,,Moderate
Pretty Happy,18.0,54098.0,17.0,Married,Female,Employed,Good,Religious,4.0,Liberal
Pretty Happy,59.0,79060.0,9.0,Divorced,Male,Employed,Excellent,Religious,9.0,
Pretty Happy,27.0,,12.0,Single,Male,Employed,Poor,Religious,7.0,Liberal
Pretty Happy,43.0,63751.0,16.0,Married,,Employed,Excellent,Religious,19.0,Liberal
Pretty Happy,33.0,,18.0,Married,Female,Employed,Fair,Religious,10.0,Liberal
Very Happy,20.0,69049.0,10.0,Single,Male,Unemployed,Good,Not Religious,2.0,Moderate
Not Too Happy,34.0,88521.0,16.0,Single,Female,Retired,Good,Religious,17.0,
Pretty Happy,45.0,,18.0,Single,Male,Employed,,Religious,7.0,Conservative
Pretty Happy,65.0,90218.0,13.0,Married,Male,Employed,,Religious,10.0,Liberal
Not Too Happy,77.0,42943.0,,Married,,Retired,,Religious,6.0,Moderate
Pretty Happy,29.0,100295.0,14.0,Married,Male,Retired,Excellent,Not Religious,1.0,Conservative
Very Happy,47.0,119543.0,15.0,Single,Male,Retired,Good,,,Moderate
Not Too Happy,28.0,101625.0,13.0,Married,,Employed,Excellent,Religious,2.0,Liberal
Pretty Happy,47.0,41023.0,12.0,Married,Male,Student,Good,Religious,10.0,
Pretty Happy,34.0,102514.0,13.0,Single,Male,Employed,Good,Religious,15.0,Liberal
Very Happy,30.0,79548.0,12.0,Divorced,Female,Unemployed,Fair,Not Religious,10.0,Liberal
Pretty Happy,72.0,72244.0,15.0,,Female,Employed,Fair,Religious,6.0,Moderate
Pretty Happy,81.0,72232.0,8.0,,Female,,Good,Religious,,Liberal
,18.0,81223.0,18.0,Single,Female,Employed,Good,Not Religious,0.0,Liberal
Not Too Happy,,64095.0,14.0,Single,Male,Employed,Fair,Religious,10.0,Moderate
Pretty Happy,57.0,80405.0,17.0,Married,Female,Employed,Good,Not Religious,1.0,Moderate
,,28782.0,17.0,Divorced,,Employed,Good,Religious,15.0,Moderate
Pretty Happy,75.0,63849.0,18.0,Divorced,Female,Unemployed,Good,Not Religious,,Moderate
,38.0,131409.0,9.0,Married,Female,Retired,Fair,Religious,7.0,Liberal
Pretty Happy,44.0,97443.0,16.0,Married,Female,,Good,Religious,18.0,Liberal
Very Happy,18.0,80496.0,8.0,Single,Male,Employed,Good,,8.0,Liberal
Pretty Happy,48.0,75644.0,18.0,Single,Male,Retired,Good,,4.0,Moderate
Pretty Happy,25.0,126819.0,,Married,Female,Unemployed,Good,Religious,0.0,
Not Too Happy,18.0,129564.0,,Single,Female,Employed,,Religious,12.0,Liberal
Pretty Happy,30.0,91337.0,16.0,Single,Female,Employed,Good,Religious,3.0,Moderate
Not Too Happy,71.0,88420.0,8.0,Married,Male,Unemployed,Fair,Religious,15.0,
Very Happy,43.0,,11.0,Single,Female,Student,Poor,Religious,2.0,Moderate
Not Too Happy,69.0,146208.0,11.0,Divorced,Female,Unemployed,Good,Not Religious,,Liberal
Very Happy,27.0,83469.0,16.0,Married,Female,,Good,Religious,1.0,Liberal
Pretty Happy,36.0,75070.0,18.0,Married,Female,Employed,Excellent,Religious,12.0,Conservative
Pretty Happy,47.0,119892.0,12.0,Married,Female,Employed,Fair,Religious,0.0,Moderate
